FieldID,Var1,Var2,Var3,Var4,Var5,Var6
169,91.5,22.875,2.14,45,13,0
170,55.5,67,1.46,35,3,0
171,96,24,2.78,49,8,0
172,99,24.75,2.12,45,4,0
173,75.5,18.875,2.36,49,9,0
174,50.5,12.625,1.24,23,3,0
175,59.5,14.875,1.98,49,12,0
176,75,18.75,1.54,31,6,0
177,61.5,15.375,1.18,34,5,0
178,77.5,19.375,1.39,16,9,0
179,56.5,14.125,1.79,24,8,0
180,80.5,20.125,1.81,35,5,0
181,59,14.75,1.41,19,10,0
182,16,56,0.56,15,1,0
183,81,20.25,1.96,38,4,0
184,30,66,0.91,12,4,0
185,41,10.25,1.27,9,5,0
186,45.5,72,1.85,23,4,0
187,57.5,14.375,1.25,16,7,0
188,49.5,12.375,1.12,21,7,0
189,69,17.25,1.78,36,7,0
190,46.5,11.625,1.21,22,3,0
191,58,100,1.48,19,7,0
192,43,10.75,1.15,18,6,0
193,70,17.5,1.55,16,4,0
194,45.5,11.375,1.5,23,3,0
195,64.5,16.125,1.27,19,1,0
196,73,18.25,1.38,31,5,0
197,60,15,1.74,14,4,0
198,83,20.75,1.78,27,6,0
199,48.5,12.125,1.39,14,4,0
200,80.5,20.125,2.2,42,12,0
201,27.125,6.78125,2.42,74,15,0
202,77,19.25,1.99,47,7,0
203,80,20,2.11,53,8,0
204,37.125,9.28125,4.73,103,25,0
205,65,16.25,2.06,35,8,0
206,84.5,21.125,2.18,21,10,0
207,25.25,6.3125,2.81,49,21,0
208,55.5,13.875,2.79,65,12,0
209,28.5,7.125,3.01,34,18,0
210,68.5,17.125,1.26,34,9,0
211,48,12,1.29,29,22,0
212,59.5,14.875,1.58,50,12,0
213,27.5,73,0.85,20,4,0
214,29.625,7.40625,3.15,40,19,0
215,73,18.25,1.9,40,16,0
216,93.5,23.375,3.02,57,6,0
217,82.5,20.625,2.4,33,9,0
218,67,16.75,1.51,39,20,0
219,52.5,98,1.72,18,11,0
220,49.5,12.375,1.61,29,5,0
221,43.625,10.90625,5.56,78,30,0
222,27.25,6.8125,1.93,61,16,0
223,82,20.5,1.46,19,18,0
224,39.625,9.90625,3.96,96,24,0
225,39.5,9.875,1.25,31,4,0
226,49.5,12.375,1.74,26,8,0
227,84.5,21.125,2.41,31,13,0
228,77,19.25,1.84,30,13,0
229,66.5,16.625,1.99,52,4,0
230,73.5,18.375,2.14,57,6,0
231,61,15.25,1.54,35,13,0
232,66,16.5,1.55,42,11,0
233,44.5,11.125,1.41,28,4,0
234,62,15.5,1.28,19,9,0
